| name | position | department | school | degrees | research_interests |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Lin Yanping | ['Research Professor', 'Prof'] | ['Department of Applied Mathematics'] | ['Washington State University'] | ['BS in Applied Mathematics', 'M', 'S', 'PhD', 'Doctor of Philosophy', 'Master of Science', 'Bachelor of Science'] | ['finite element/finite volume methods for partial differential equations', 'inverse problems and interface problems', 'Partial differential equations and scientific computing'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Qi Houduo | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Qiao Zhonghua | ['Professor', 'RGC Research Fellow'] | ['Department of Applied Mathematics'] | ['Hong Kong Baptist University'] | ['Doctor of Philosophy', 'Master of Science', 'Bachelor of Science'] | ['numerical analysis and scientific computing'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Wang Zhian | ['Professor'] | ['Department of Applied Mathematics'] | ['University of Alberta', 'Central China Normal University'] | ['Doctor of Philosophy', 'Master of Science', 'Bachelor of Science'] | ['mathematical modeling and analysis on chemotaxis', 'traveling waves in reaction-diffusion system', 'mathematical physics'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Yang Xiaoqi | ['Professor'] | ['Department of Applied Mathematics'] | ['University of New South Wales', 'Chinese Academy of Science'] | ['Doctor of Philosophy'] | ['mathematical optimization', 'vector optimization', 'variational analysis', 'financial optimization'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr He Daihai | ['Associate Professor'] | ['Department of Applied Mathematics'] | ['Xi’an Jiaotong University (China)', 'McMaster University (Canada)'] | ['Ph', 'D', 'in Engineering', 'in Mathematics'] | ['infectious disease modelling and statistical analysis of medical data', 'modeling of infectious diseases', 'yellow fever', 'COVID-19', 'typhus epidemic'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr James Huang | ['Associate Professor'] | ['Department of Applied Mathematics'] | ['University of Alberta'] | ['Doctor of Philosophy', 'name', 'Dr James Huang', 'position', 'Associate Professor', 'department', 'Department of Applied Mathematics', 'research interests', 'Statistical estimation and filtering theory (linear', 'nonlinear)', 'Statistical inference of stochastic process', 'Control and optimization theory (deterministic', 'stochastic)', 'Mathematical finance and economics', 'graduate schools', 'University of Alberta', 'degrees'] | ['Statistical estimation and filtering theory (linear', 'nonlinear)', 'Statistical inference of stochastic process', 'Control and optimization theory (deterministic', 'stochastic)', 'Mathematical finance and economics'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Jiang Binyan | ['Associate Professor'] | ['Department of Applied Mathematics'] | ['National University of Singapore', 'University of Science and Technology of China'] | ['Doctor of Philosophy', 'Bachelor of Science'] | ['high dimensional data analysis', 'survival data analysis', 'mixture models', 'network data analysis'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Joseph Lee Heung-wing | ['Associate Professor'] | ['Department of Applied Mathematics'] | ['The University of Western Australia'] | ['Doctor of Philosophy', 'Bachelor of Science'] | ['Computational Optimal Controls', 'Scheduling', 'Manpower Planning Problem', 'Optimal Discrete-valued Controls', 'Control of Chaotic Systems', 'Computational Semi-infinite Programming Problems', 'Internet Traffic Control', 'Financial Mathematics', 'Supply Chain Management'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Catherine Liu Chunling | ['Associate Professor'] | ['Department of Applied Mathematics'] | ['The University of Hong Kong', 'Wuhan University', 'Huazhong Normal University'] | ['Doctor of Philosophy', 'Master of Science', 'Bachelor of Science'] | ['biomedical study and its application in epidemiology', 'ophthalmology', 'linguistics', 'and fMRI/DTI Incomplete data analysis: censoring', 'missing and limit of detection Linear and non-linear modeling and regression analysis Longitudinal/functional/multivariate data analysis and related topics Non- and semi- parametric statistics Sequential analysis in biomedical studies Survival analysis'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Lou Yijun | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Pong Ting-kei | ['Associate Professor'] | ['Department of Applied Mathematics'] | ['The Chinese University of Hong Kong', 'University of Washington', 'University of British Columbia'] | ['Bachelor degree', 'MPhil degree', 'PhD degree', 'Doctor of Philosophy'] | ['mathematics', 'continuous optimization'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Alex Wong Kin-yau | ['Associate Professor'] | ['Department of Applied Mathematics'] | ['University of Hong Kong', 'University of North Carolina at Chapel Hill'] | ['BSc in Actuarial Science', 'MPhil', 'PhD in Biostatistics'] | ['high-dimensional data', 'censored event times', 'medical and public health studies'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Xu Zuoquan | ['Associate Professor'] | ['Department of Applied Mathematics'] | ['The Chinese University of Hong Kong', 'Peking University', 'Nankai University'] | ['Doctor of Philosophy', 'Master of Philosophy', 'Bachelor of Science'] | ['mathematical finance', 'quantitative behavioral finance', 'insurance', 'stochastic control'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Zhang Guofeng | ['Associate Professor'] | ['Department of Applied Mathematics'] | ['The University of Alberta', 'Northeastern University'] | ['Doctor of Philosophy', 'Master of Science', 'Bachelor of Science'] | ['quantum information', 'quantum control', 'quantum algorithms and tensor computation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Zhou Zhi | ['Associate Professor'] | ['Department of Applied Mathematics'] | ['Bachelor of Science', 'Nanjing University of Aeronautics and Astronautics Doctor of Philosophy', 'Texas A&M University'] | ['Bachelor of Science', 'Doctor of Philosophy'] | ['Finite Difference', 'Finite Volume', 'Finite Element Approximations for PDEs Scientific Computations Peridynamics and Nonlocal Diffusion', 'Fractional PDEs Inverse Problems and Optimal Control'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Cui Jianbo | ['Assistant Professor'] | ['Department of Applied Mathematics'] | ['University of Chinese Academy of Sciences'] | ['Doctor of Philosophy'] | ['analysis and computations of stochastic differential equations', 'optimal transport theory', 'structure-preserving numerical methods of Hamiltonian systems'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Fu Guanxing | ['Assistant Professor'] | ['Department of Applied Mathematics'] | ['Dalian University of Technology', 'Nankai University', 'Humboldt University of Berlin'] | ['Bachelor of Science', 'Master of Science', 'Doctor of Natural Science'] | ['mean field games', 'stochastic control theory', 'mathematical economics and finance', 'deep learning in stochastic control'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Han Ruijian | ['Assistant Professor'] | ['Department of Applied Mathematics'] | ['Hong Kong University of Science and Technology'] | ['Doctor of Philosophy in Mathematics'] | ['statistical machine learning', 'high-dimensional statistics', 'network data analysis', 'online inference'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Jiang Zhaoli | ['Assistant-Professor'] | ['Department of Applied Mathematics'] | ['The Chinese University of Hong Kong'] | ['Doctor of Philosophy in Financial Engineering', 'Bachelor of Computational Mathematics'] | ['portfolio selection', 'corporate finance', 'stochastic control'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Li Ting | ['Assistant Professor'] | ['Department of Applied Mathematics'] | ['Hong Kong University of Science and Technology'] | ['PhD'] | ['data science', 'statistical learning on high dimensional data', 'especially on network data and biological data'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Yuan Yancheng | ['Assistant Professor'] | ['Department of Applied Mathematics'] | ['National University of Singapore', 'University of Science and Technology of China'] | ['Doctor of Philosophy', 'Bachelor of Science'] | ['Large/Huge scale sparse optimization: theory', 'algorithm design and software development', 'Mathematical foundation for data science', 'Data-driven applications with focus on healthcare and fintech'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Zhang Zaikun | ['Assistant Professor'] | ['Department of Applied Mathematics'] | ['Jilin University'] | ['Bachelor of Science', 'Doctor of Natural Science'] | ['theory and algorithms of mathematical optimization'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Zhang Zhu | ['Assistant Professor'] | ['Department of Applied Mathematics'] | ['Bachelor of Science', 'Wuhan University'] | ['Doctor of Philosophy', 'The Chinese University of Hong Kong'] | ['Partial Differential Equations', 'Boundary layer in fluid mechanics', 'Kinetic theory'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Bai Kuang | ['Research Assistant Professor'] | ['Department of Applied Mathematics'] | ['Lanzhou University', 'Dalian University of Technology', 'University of Victoria'] | ['B', 'S', 'in Applied Mathematics', 'M', 'in Operations Research and Control Theory', 'Ph', 'D', 'in Optimization', 'Doctor of Philosophy'] | ['optimization and variational analysis', 'as well as their applications in Economics', 'Engineering and Statistics', 'Nonsmooth Optimization', 'Variational Analysis', 'Bilevel Optimization'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Chen Kexin | ['Research Assistant Professor'] | ['Department of Applied Mathematics'] | ['The Chinese University of Hong Kong'] | ['Bachelor of Science', 'Master of Philosophy', 'Doctor of Philosophy'] | ['Financial Mathematics: Stochastic control for financial application Optimal stopping problems Partial and asymmetric information problems'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Gao Yu | ['Instructor', 'Lecturer'] | ['Department of Applied Mathematics'] | ['Harbin Institute of Technology'] | ['Doctor of Philosophy', 'Bachelor of Science'] | ['nonlinear dispersive equations', 'kinetic equations'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr James Lee Chun-yin | [] | ['Department of Applied Mathematics'] | ['Bachelor of Science', 'The University of Hong Kong', 'Doctor of Philosophy'] | ['Bachelor of Science', 'Doctor of Philosophy'] | ['Change Point Modelling Epidemiological Study Nonparametric Estimation Survival Analysis'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Liu Xiaoxia | ['Research Assistant Professor'] | ['Department of Applied Mathematics'] | ['Syracuse University'] | ['Doctor of Philosophy'] | ['image processing', 'optimization', 'inverse problem'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Shen Guohao | ['Research Assistant Professor'] | ['Department of Applied Mathematics'] | ['The Chinese University of Hong Kong', 'Sichuan University'] | ['Doctor of Philosophy', 'Bachelor of Science'] | ['statistical machine learning', 'deep learning', 'nonparametric methods'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Tang Xindong | ['Research Assistant Professor'] | ['Department of Applied Mathematics'] | ['University of California San Diego'] | ['Doctor of Philosophy'] | ['numerical optimization', 'generalized Nash equilibrium problem'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Zhang Junyi | ['Research Assistant Professor'] | ['Department of Applied Mathematics'] | ['The University of Edinburgh', 'London School of Economics and Political Science'] | ['Master of Science', 'Doctor of Philosophy'] | ['levy process', 'excursion theory', 'exact simulation', 'parisian options', 'stochastic simulation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Zhang Hua | ['Senior Teaching Fellow'] | ['Department of Applied Mathematics'] | ['Northwestern University', 'Peking University'] | ['Doctor of Philosophy', 'Bachelor of Science'] | ['Dynamical Systems'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr He Yangbo | ['Teaching Fellow'] | ['Department of Applied Mathematics'] | ['City University of Hong Kong'] | ['Bachelor of Science in Mathematics', 'Doctor of Philosophy in Mathematics'] | ['nonlinear dynamical systems'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Charles Lee Kei-fung | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Leung Chun-sing | ['Teaching Fellow'] | ['Department of Applied Mathematics'] | [] | ['Certificate of Credit in Astronomy by Distance Learning', 'Diploma in Marine Engineering and Fabrication', 'Higher Diploma in Marine Engineering', 'Postgraduate Diploma in Education', 'Bachelor of Science in Mathematics', 'Bachelor of Engineering', 'Master of Philosophy', 'Doctor of Natural Science'] | ['astrophysics', 'radio astronomy', 'cosmology'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Allen Tai Hoi-lun | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Ho Chor-yin | ['Instructor'] | ['Department of Applied Mathematics'] | ['The Chinese University of Hong Kong'] | ['Bachelor of Science', 'Master of Science in Electronic Engineering', 'Master of Science', 'Master of Philosophy', 'Doctor of Philosophy in Mathematics'] | ['Differential geometry'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Andy Cheung Yat-ming | ['Instructor'] | ['Department of Applied Mathematics'] | ['The Chinese University of Hong Kong'] | ['Bachelor of Science', 'Master of Philosophy in Mathematics'] | ['Optimization', 'Partial Differentiation Equations', 'Minimal Surface'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Adam Leung Man-kin | ['Instructor'] | ['Department of Applied Mathematics'] | ['Hong Kong University of Science and Technology'] | ['Bachelor of Science in Mathematics and Physics', 'Master of Philosophy in Mathematics'] | ['computational fluid dynamics', 'mathematical physics', 'mathematics and arts'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Mr Frankie Tsoi Sze-leong | ['Instructor'] | ['Department of Applied Mathematics'] | ['The Hong Kong Polytechnic University', 'Simon Fraser University'] | ['Master of Philosophy', 'Bachelor of Science (Actuarial Science)'] | ['Inverted Probability Loss Functions Spatial Statistics'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Angus Yeung Hon-keung | ['Instructor'] | ['Department of Applied Mathematics'] | ['The Hong Kong Polytechnic University', 'The University of Hong Kong'] | ['Master of Philosophy', 'Bachelor of Science in Actuarial Science', 'Bachelor of Social Sciences'] | ['Supply Chain Management Optimization', 'Actuarial Analysis'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Hector Tsang | ['Cally Kwong Mei Wan Professor in Psychosocial Rehabilitation', 'Chair Professor of Rehabilitation Sciences', 'Honorary Professor', 'Visiting Professor'] | ['Department of Rehabilitation Sciences', 'RS'] | ['University of Hong Kong', 'Peking University', 'Sichuan University', 'Kunming Medical University'] | ['Honorary Professor', 'Visiting Professor'] | ['neuropsychiatric rehabilitation', 'integrative medicine', 'Schizophrenia', 'Social Cognition', 'Community Function'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Andy Cheng | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Amy FU | ['Professor'] | ['Department of Rehabilitation Sciences'] | ['Hong Kong Polytechnic University'] | ["Master's degree", 'Doctoral degree'] | ['musculoskeletal and sports'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Shamay NG | ['Professor', 'Associate Head of Department of Rehabilitation Sciences'] | ['Department of Rehabilitation Sciences'] | ['The University of Sydney', 'Australia', 'The Hong Kong Polytechnic University'] | ['Master of Applied Science in Physiotherapy', 'PhD'] | ['neurological rehabilitation', 'specifically in persons with stroke'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Marco PANG | ['Professor'] | ['Rehabilitation Sciences'] | ['University of Alberta'] | ['BSc in Physical Therapy', 'PhD in Neuroscience'] | ['geriatric rehabilitation', 'especially among individuals with stroke and dementia'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. David SHUM | ['Professor'] | ['Department of Rehabilitation Sciences'] | ['Chinese Academy of Sciences', 'Beijing', 'Chinese Mainland'] | ['PhD in Psychology'] | ['neuropsychology', 'cognitive assessment and rehabilitation', 'brain-injured children and adults', 'prospective memory', 'retrograde memory', 'rehabilitation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Gladys CHEING | ['Professor', 'Department of Rehabilitation Sciences'] | ['Department of Rehabilitation Sciences', 'RS'] | ['Hong Kong College of Physiotherapy', 'Hong Kong Polytechnic University'] | ['Founding fellow', 'Master of Science in Physical Therapy'] | ['diabetic complications and pain management', 'pain management'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Kenneth FONG | ['Professor', 'Management committee member', 'Chairman', 'Elected member', 'Professor (Rehabilitation Sciences)', 'Principal Investigator', 'Co-Investigator', 'Research Grants Council', 'University Grants Committee', 'Innovation and Technology Fund', 'Health and Medical Research Fund'] | ['Department of Rehabilitation Sciences', 'RS'] | ['Hong Kong'] | [] | ['occupational therapy', 'Assistive Technology', 'Rehabilitation Sciences'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Karen Liu | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Margaret MAK | ['Professor', 'appointed chief examiner', 'council member'] | ['Department of Rehabilitation Sciences', 'RS'] | ['Curtin University of Technology', 'Australia'] | ['PhD'] | ['neurological rehabilitation', 'with special emphasis on Parkinson’s disease'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Benjamin YEE | ['Professor', 'Senior Scientist', 'Group Leader', 'Director of Behavioural Neuroscience', 'Chartered Psychologist'] | ['Department of Psychology', 'Department of Rehabilitation Sciences'] | ['University College London', 'University of Oxford', 'University of Hong Kong'] | ['BSc Honours in Psychology', 'PhD'] | ['behavioural neuroscience', 'schizophrenia', 'mental dysfunctions', 'mechanistic understanding of behaviour and higher cognitive functions', 'molecular to system levels', 'translational animal models', 'therapeutic concepts', 'treatment and management of human neuropsychiatric disorders', 'cognitive function', 'psychological well-being'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Shirley NGAI | ['Chairperson'] | ['RS', 'Not specified'] | ['The Hong Kong Polytechnic University', 'Not specified'] | ['BSc (Hons) in Physiotherapy and PhD', 'Not specified'] | ['management of patients with chronic diseases', 'cardiopulmonary physiotherapy', 'exercise physiology and assessment', 'Not specified'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Sharon TSANG | ['Assistant Professor'] | ['Department of Rehabilitation Sciences'] | ['Hong Kong', 'Australia', 'United Kingdom'] | ['Fellowship (Musculoskeletal Physiotherapy) of the Hong Kong College of Physiotherapy'] | ['Musculoskeletal Physiotherapy'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Stanley WINSER | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Priya KANNAN | [] | [] | ['University of Otago'] | ['Doctor of Philosophy'] | ['physiotherapy'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr. Arnold WONG | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Thomson WONG | ['Physiotherapist', 'Experienced physiotherapist'] | ['N/A', 'RS'] | ['The Hong Kong Polytechnic University', 'The University of Hong Kong', 'HKPA'] | ['BSc in Physiotherapy', 'MSc in Sports Science', 'PhD in Sports Science and Human Performance', 'name', 'Dr Thomson WONG', 'position', 'Physiotherapist', 'Experienced physiotherapist', 'department', 'N/A', 'research interests', 'geriatric', 'falls', 'psycho-motor rehabilitation', 'motor control and learning', 'postural control assessment and training', 'tele-rehabilitation in older adults and people with movement disorders and neurological diseases', 'graduate schools', 'The Hong Kong Polytechnic University', 'The University of Hong Kong', 'degrees'] | ['geriatric', 'falls', 'psycho-motor rehabilitation', 'motor control and learning', 'postural control assessment and training', 'tele-rehabilitation in older adults and people with movement disorders and neurological diseases'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Sonata YAU | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Fadi AL ZOUBI | [] | [] | ['Jordan University of Science and Technology (JUST)', 'New York Institute of Technology (NYIT)', 'McGill University'] | ['BSc in physiotherapy', 'professional MSc in rehabilitation', 'research-based MSc and PhD in rehabilitation', 'postdoctoral training in measurement and knowledge translation in evidence-based practice'] | ['musculoskeletal rehabilitation', 'low back pain', 'measurement and knowledge translation in evidence-based practice'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Wayne CHAN | ['Assistant Professor', 'Research Scientist'] | ['Teaching and Learning Unit', 'School of Science'] | ['The Hong Kong Polytechnic University', 'The Chinese University of Hong Kong', 'received his PhD from the University of Hong Kong'] | ['BSc in Physiotherapy', 'MSc in Clinical Gerontology', 'PhD in Medical Sciences', 'PhD in Psychology'] | ['geriatrics', 'falls prevention', 'exercise intervention', 'healthy older adults', 'cognitive impairment', 'dementia'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Meizhen HUANG | ['Assistant Professor', 'non-invasive brain stimulation', 'designing innovative exercise programs'] | ['Department of Rehabilitation Sciences', 'RS'] | ['Sichuan University', 'The Hong Kong Polytechnic University', 'RS'] | ["Bachelor's degree in Physical Therapy", 'PhD in Rehabilitation Science', 'PhD in RS'] | ['Understanding and improving physical function of people with neurological conditions', 'utilizing a range of techniques and approaches that have the potential to significantly impact patient care', "non-invasive brain stimulation in stroke and Parkinson's Disease", 'and designing innovative exercise programs for individuals with chronic conditions'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Patrick KWONG | ['Assistant Professor (Physiotherapy)', 'Department of Rehabilitation Sciences'] | ['Department of Rehabilitation Sciences'] | ['PolyU (The Hong Kong Polytechnic University)'] | ['BSc (Hons) in Physiotherapy', 'MSc in Manipulative Physiotherapy', 'PhD'] | ['stroke rehabilitation', 'balance and postural control', 'and gait biomechanics'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Freddy LAM | ['Assistant Professor'] | ['Department of Rehabilitation Sciences'] | ['The Hong Kong Polytechnic University'] | ['BSc in physiotherapy and PhD'] | ['geriatric assessments', 'fall prevention training'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Annie LEONG | ['Assistant Professor'] | ['RS'] | ['The Hong Kong Polytechnic University'] | ['PhD'] | ['tendinopathy', 'rehabilitation', 'sports science', 'shoulder disorders', 'exercise-based rehabilitation for musculoskeletal disorders', 'sports biomechanics', 'musculoskeletal ultrasound imaging'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Peter Ng | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Billy SO | ['Assistant Professor (Physiotherapy)', 'Guest Lecturer', 'Lecturer'] | ['Department of Rehabilitation Sciences (RS)'] | ['The University of Hong Kong'] | ['BSc (Hons) in Physiotherapy'] | ['applying ergonomic principle in preventing work-related musculoskeletal disorders', 'Aquatic Therapy'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Charlotte TSANG | ['Assistant Professor'] | ['Department of Rehabilitation Sciences'] | ['BSc in Physiotherapy', 'The Hong Kong Polytechnic University', 'MSc in Healthcare', 'PhD in Rehabilitation Sciences'] | ['BSc in Physiotherapy'] | ['falls', 'hip fractures', 'older adults', 'multidimensional assessments', 'clinical practice', 'healthy ageing', 'functional independence', 'fall prevention in older adults'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Clare Yu | [] | ['RS'] | ['The Chinese University of Hong Kong'] | ['MPhil', 'PhD in Clinical Medicine'] | ['pediatric exercise science', 'childhood obesity', 'cardiopulmonary assessment in children', 'exercise intervention program for children with autism spectrum disorder'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr. Alex CHEUNG | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Anna Bella SUEN | ['N/A', 'Senior Physiotherapist', 'Manager of the Occupational Safety & Health Team and Staff Health Team'] | ['N/A', 'Hospital Authority Head Office'] | ['The Hong Kong Polytechnic University'] | ["Bachelor's degree in physiotherapy", "Master's degree in health care (physiotherapy)"] | ['N/A'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Mr Raymond Tsang | ['Senior Physiotherapist', 'Advanced Practitioner in Musculoskeletal Physiotherapy'] | ['Physiotherapy Department'] | ['The Hong Kong Polytechnic University', 'The University of Hong Kong'] | ['Professional Diploma in Physiotherapy', 'Master of Science in Health Care (Physiotherapy)', 'Master of Medical Sciences (Medical Statistics)'] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Bonnie Ma | [] | [] | ['The Hong Kong Polytechnic University', 'The Chinese University of Hong Kong', 'Hong Kong Baptist University'] | ['Bachelor of Science (Hons) in Physiotherapy', "Master of Science in Women's Health Studies", 'Professional Development Diploma in Acupuncture for Physiotherapists'] | ['physiotherapy', "women's health", 'geriatric rehabilitation', 'community service'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Mr Stanley WU | ['Clinical Professor'] | ['Department of Rehabilitation Sciences'] | ['Sichuan University'] | ['Master of Physical Therapy'] | ['clinical education'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Jacqueline AU-YEUNG | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Mr Kenneth CHUNG | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Howard FONG | ['Operations Manager'] | ['RS'] | ['The Hong Kong Polytechnic University', 'The Chinese University of Hong Kong'] | ['Bachelor of Science in Physiotherapy', 'Master of Science in Sports Medicine and Health Science', 'Diploma in Acupuncture for Physiotherapists'] | ['injury prevention', 'rehabilitation', 'and sports performance'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Jacky Fong | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Eugene KWOK | [] | [] | ['The Hong Kong Polytechnic University'] | ["bachelor's degree in physiotherapy", "master's degree in manipulative therapy"] | ['physiotherapy', 'manipulative therapy', 'acupuncture'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Mr Curtis WONG | ['Clinical Associate', 'RS'] | ['Rehabilitation Clinic of RS', 'RS'] | ['The Hong Kong Polytechnic University', 'The Chinese University of Hong Kong', 'HKU School of Professional and Continuing Education'] | ['Bachelor of Science in Physiotherapy', 'Master of Science in Musculoskeletal Medicine & Rehabilitation', 'Postgraduate Diploma in Modern Acupuncture for Rehabilitation'] | [] |

